URL,Name,Price,Description,Brand,Images,Is Product Page,Error
https://books.apple.com/us/book/the-backyard-bird-chronicles/id6452501953,,,,,,false,Not a product page
https://au.shein.com/100pcs-Striped-Pattern-Straw-Kitchen-Christmas-Gift-p-17756189.html,,,,,,false,Error: Navigation timeout of 60000 ms exceeded
https://www.uniqlo.com/au/en/products/E453151-000?colorCode=COL11&sizeCode=SMA001,MEN'S EXTRA FINE COTTON BROADCLOTH LONG SLEEVE SHIRT,AUD $39.90,This versatile and stylish long sleeve shirt is crafted from extra fine cotton broadcloth for a comfortable fit and feel. Perfect for both formal and casual occasions.,UNIQLO,"https://image.uniqlo.com/UQ/ST3/au/imagesgoods/453151/item/augoods_11_453151_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/au/imagesgoods/453151/sub/augoods_453151_sub7_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/au/imagesgoods/453151/sub/augoods_453151_sub8_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/453151/sub/goods_453151_sub14_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/453151/sub/goods_453151_sub15_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/au/imagesgoods/453151/sub/augoods_453151_sub17_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/au/imagesgoods/453151/sub/augoods_453151_sub18_3x4.jpg?width=369,https://image.uniqlo.com/UQ/ST3/au/imagesgoods/453151/sub/augoods_453151_sub19_3x4.jpg?width=369",true,
https://www.tumi.com.au/tumi/tegra-lite%C2%AE/international-exp-carry-on/tu-144791-4482.html,,,,,,false,Not a product page
https://www.cartier.com.au/en-au/collections/jewellery/collections/grain-de-caf%C3%A9/b8301524-grain-de-caf%C3%A9-earrings.html,Grain de Café earrings,,"Yellow gold, white gold, diamonds",Cartier,"https://www.cartier.com.au/content/dam/rcq/car/TE/Fo/Jt/04/S5/K6/4l/xl/Jr/1n/yQ/TEFoJt04S5K64lxlJr1nyQ.png.scale.314.high.grain-de-caf%C3%A9-earrings.png,https://www.cartier.com.au/content/dam/rcq/car/HJ/cJ/Uj/jr/Rz/Cy/Fs/FL/1T/mu/eA/HJcJUjjrRzCyFsFL1TmueA.png.scale.314.high.grain-de-caf%C3%A9-earrings.png",true,
https://www.abc.net.au/news,,,,,,false,Not a product page
